#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_01729	NA	7.5699	1	8.92685	0.193036	102.794	u
FVEG_01738	NA	-5.52371	1	-6.10961	5.18375	0.0663385	d
FVEG_01763	NA	4.05718	1	5.79505	0.0229658	2.32151	u
FVEG_01770	NA	-5.38355	1	-5.79287	11.2168	0.181954	d
FVEG_01772	NA	-4.71317	1	-5.10291	11.581	0.303939	d
FVEG_01810	NA	-4.87523	1	-5.58002	4.19795	0.0766091	d
FVEG_01855	NA	4.73584	1	4.8129	12.1777	312.287	u
FVEG_01856	NA	4.9762	1	5.05938	14.4969	441.064	u
FVEG_01962	NA	-5.10667	1	-5.15131	422.996	10.852	d
FVEG_01974	NA	-4.86286	1	-4.9841	60.4009	1.73856	d
FVEG_02077	NA	-5.81646	1	-5.91945	149.325	2.24789	d
FVEG_02078	NA	-5.79715	1	-6.08032	34.8309	0.466295	d
FVEG_02134	NA	4.40644	1	4.67723	4.01224	94.2649	u
FVEG_02331	NA	-5.90622	1	-5.98596	916.588	13.1806	d
FVEG_02370	NA	-6.16133	1	-6.49709	22.2004	0.221914	d
FVEG_02403	NA	4.09662	1	4.25147	5.57945	97.1166	u
FVEG_02407	NA	-4.23219	1	-4.93313	2.62933	0.0756269	d
FVEG_02410	NA	5.28029	1	5.69325	0.279739	13.4291	u
FVEG_02443	NA	-5.77578	1	-5.88085	158.193	2.44589	d
FVEG_02444	NA	-6.3318	1	-6.50388	100.611	1.00842	d
FVEG_02509	NA	4.2061	1	4.70981	0.416825	10.2135	u
FVEG_02611	NA	-4.50115	1	-4.53446	527.389	20.7503	d
FVEG_02620	NA	-4.57129	1	-4.6593	80.1381	2.89054	d
FVEG_02728	NA	-4.9835	1	-5.17278	236.392	5.96097	d
FVEG_02733	NA	-4.51662	1	-4.65875	40.095	1.44566	d
FVEG_03041	NA	4.23048	1	4.44312	6.66746	132.812	u
FVEG_03067	NA	7.20242	1	7.57492	1.81759	320.458	u
FVEG_03140	NA	-4.03328	1	-4.22744	15.4112	0.748734	d
FVEG_03157	NA	-4.59257	1	-5.43877	1.77485	0.0351061	d
FVEG_03159	NA	-4.2222	1	-5.0877	1.48991	0.037673	d
FVEG_03160	NA	-4.41691	1	-5.71775	1.94791	0.0303341	d
FVEG_03166	NA	6.47654	1	6.79866	1.46989	150.751	u
FVEG_03172	NA	-5.48548	1	-6.10073	2.48826	0.0319267	d
FVEG_03187	NA	4.18435	1	5.92162	0.020524	2.26525	u
FVEG_03201	NA	-6.43782	1	-6.99459	14.303	0.0992065	d
FVEG_03206	NA	-5.98053	1	-6.22275	30.6546	0.372459	d
FVEG_03228	NA	5.40024	1	8.13385	0	5.2989	u
FVEG_03240	NA	4.37794	1	4.73161	0.967907	23.7397	u
FVEG_03271	NA	-5.96107	1	-6.41076	11.0924	0.116735	d
FVEG_03277	NA	4.79456	1	4.98411	5.12311	148.35	u
FVEG_03281	NA	-4.25423	1	-4.47092	6.29993	0.258351	d
FVEG_03282	NA	-4.78828	1	-5.56854	8.79938	0.160164	d
FVEG_03287	NA	4.43845	1	4.71295	2.38272	57.3954	u
FVEG_03289	NA	-6.82292	1	-7.22756	34.7471	0.208174	d
FVEG_03293	NA	-6.49405	1	-7.25946	5.93093	0.0331612	d
FVEG_03295	NA	4.05091	1	4.41352	2.24305	44.1568	u
FVEG_03305	NA	-4.86329	1	-4.98964	141.204	4.04846	d
FVEG_03308	NA	-5.78528	1	-6.10578	44.7337	0.587224	d
FVEG_03315	NA	-4.25192	1	-6.13477	0.45515	0.00306687	d
FVEG_03317	NA	-5.5895	1	-6.00193	4.12099	0.0577938	d
FVEG_03318	NA	-5.19239	1	-5.90344	2.69901	0.0392316	d
FVEG_03330	NA	-4.04168	1	-4.28849	5.17651	0.240756	d
FVEG_03331	NA	-4.30986	1	-6.18724	0.389583	0.00252784	d
FVEG_03333	NA	-4.47776	1	-5.22999	1.37782	0.0319476	d
FVEG_03340	NA	-4.7174	1	-5.17595	10.8416	0.2692	d
FVEG_03341	NA	-4.96433	1	-5.22673	11.0382	0.267473	d
FVEG_03359	NA	-5.53701	1	-6.21047	2.09437	0.0246963	d
FVEG_03373	NA	-5.05909	1	-5.56464	7.13625	0.134638	d
FVEG_03374	NA	-4.05533	1	-4.27491	7.53111	0.353831	d
FVEG_03379	NA	4.66368	1	5.70806	0.0344986	1.80832	u
FVEG_03380	NA	6.72107	1	8.45301	0.0136827	8.74219	u
FVEG_03381	NA	5.92783	1	7.22666	0.0891556	14.2032	u
FVEG_03394	NA	4.40234	1	5.01175	0.508151	15.5681	u
FVEG_03397	NA	-4.51945	1	-5.0898	2.40896	0.0629343	d
FVEG_03398	NA	-4.77788	1	-5.79492	2.02022	0.030655	d
FVEG_03414	NA	-5.55317	1	-6.14761	6.60584	0.0822438	d
FVEG_03415	NA	-5.46123	1	-5.95924	3.70104	0.0530847	d
FVEG_03416	NA	-4.54659	1	-4.82252	12.9633	0.415686	d
FVEG_03424	NA	-5.20986	1	-5.78502	4.28034	0.0687761	d
FVEG_03450	NA	-4.21685	1	-5.12711	2.22153	0.0544035	d
FVEG_03479	NA	-6.30531	1	-6.53561	39.1504	0.383083	d
FVEG_03494	NA	-4.83148	1	-6.34335	0.855305	0.00778402	d
FVEG_03502	NA	4.25687	1	4.45324	5.52698	110.798	u
FVEG_03506	NA	-4.15163	1	-4.42935	12.4364	0.524006	d
FVEG_03516	NA	-5.68457	1	-5.94347	27.6119	0.406927	d
FVEG_03523	NA	-4.32969	1	-5.63622	1.59903	0.0263659	d
FVEG_03534	NA	-4.57717	1	-4.90025	5.39065	0.163454	d
FVEG_03536	NA	-4.27794	1	-4.61121	6.62604	0.245518	d
FVEG_03539	NA	-5.948	1	-6.08899	106.663	1.42656	d
FVEG_03540	NA	-5.33116	1	-5.3692	1010.88	22.2995	d
FVEG_03548	NA	-4.31292	1	-4.45008	137.016	5.70996	d
FVEG_03595	NA	5.23717	1	6.01444	0.342833	21.6479	u
FVEG_03596	NA	-5.63895	1	-5.88599	20.1173	0.308693	d
FVEG_03617	NA	7.00464	1	7.78066	0.337814	72.5701	u
FVEG_03618	NA	8.92764	1	9.07328	13.502	6645.3	u
FVEG_03631	NA	-4.52301	1	-5.16415	1.8769	0.0462121	d
FVEG_03647	NA	-5.11214	1	-5.44312	94.343	1.96096	d
FVEG_03695	NA	8.10288	1	8.38021	0.416637	127.536	u
FVEG_03696	NA	8.24416	1	8.43346	0.709824	224.529	u
FVEG_03697	NA	8.45788	1	8.65616	3.62528	1338.6	u
