# This file is generated by gfold V1.1.1						
# Normalization constants :						
#    7600_Gfold.read_cnt	46669976	1				
#    FV013_Gfold.read_cnt	266393578	5.20494				
# The GFOLD value could be considered as a reliable log2 fold change.						
# It is positive/negative if the gene is up/down regulated.						
# A gene with zero GFOLD value should never be considered as 						
# differentially expressed. For a comprehensive description of 						
"# GFOLD, please refer to the manual."						
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM
FVEG_00101	NA	0	1	-2.37988	0	0
FVEG_00102	NA	0	1	-1.37988	0	0.00286334
FVEG_00103	NA	-1.86531	1	-1.92045	0.189381	0.047397
FVEG_00104	NA	-1.68049	1	-2.08032	0.842967	0.182025
FVEG_00105	NA	-0.930572	1	-1.14442	3.38322	1.39781
FVEG_00106	NA	-1.17381	1	-1.33129	4.53851	1.64593
FVEG_00107	NA	-0.45499	1	-0.729072	2.74672	1.51602
FVEG_00108	NA	0	1	-0.407895	0.28539	0.201992
FVEG_00109	NA	0	1	0.62012	0.0433088	0.0739767
FVEG_00110	NA	0.513991	1	0.740134	4.11442	6.29073
FVEG_00111	NA	0	1	0.790045	0.0271572	0.0808813
FVEG_00112	NA	-4.87277	1	-5.17762	13.2496	0.331603
FVEG_00113	NA	-1.45111	1	-1.99655	1.39163	0.319095
FVEG_00114	NA	-0.264402	1	-0.432348	0.119039	0.0903703
FVEG_00115	NA	-1.43619	1	-2.37988	1.39499	0.244391
FVEG_00116	NA	2.56962	1	2.76369	19.291	119.866
FVEG_00117	NA	0.44378	1	0.868047	0.86217	1.45598
FVEG_00118	NA	0.246966	1	1.51628	0.0660819	0.192468
FVEG_00119	NA	0.103977	1	0.643655	0.40845	0.595664
FVEG_00120	NA	-4.21563	1	-5.96484	1.90826	0.0191035
FVEG_00121	NA	-6.75311	1	-6.9066	201.341	1.52721
FVEG_00122	NA	-1.60294	1	-1.91847	2.07156	0.50039
FVEG_00123	NA	0	1	-1.37988	0	0.00758352
FVEG_00124	NA	-1.14168	1	-1.58018	0.473727	0.146834
FVEG_00125	NA	-2.9342	1	-3.87173	0.643982	0.0384615
FVEG_00126	NA	-0.904713	1	-1.54761	1.57842	0.497747
FVEG_00127	NA	-2.63	1	-2.82931	4.98863	0.63968
FVEG_00128	NA	-1.03355	1	-1.16118	12.522	5.10855
FVEG_00129	NA	-6.73198	1	-8.18207	2.38364	0.00600855
FVEG_00130	NA	-0.67464	1	-4.37988	0.103015	0
FVEG_00131	NA	0	1	-0.223376	1.48712	1.17422
FVEG_00132	NA	-5.09934	1	-6.68366	2.93212	0.0197571
FVEG_00133	NA	-6.81309	1	-7.19076	24.5841	0.151416
FVEG_00134	NA	-5.27424	1	-6.27065	2.84729	0.0310002
FVEG_00135	NA	-2.80676	1	-4.62781	0.474984	0.0138689
FVEG_00136	NA	0	1	-2.37988	0	0
FVEG_00137	NA	-1.73648	1	-2.35563	0.821937	0.146479
FVEG_00138	NA	2.26122	1	2.60067	0.841376	4.70377
FVEG_00139	NA	1.30538	1	1.59462	0.786259	2.1808
FVEG_00140	NA	1.32839	1	1.50814	8.39484	21.8315
FVEG_00141	NA	3.20873	1	3.43645	4.68288	46.4508
FVEG_00142	NA	0	1	0.301944	0.527288	0.638237
FVEG_00143	NA	0.639738	1	1.05475	0.778491	1.49591
FVEG_00144	NA	0	1	-2.37988	0	0
FVEG_00145	NA	0	1	-0.20091	0.509934	0.410604
FVEG_00146	NA	4.49512	1	7.23114	0	3.77317
FVEG_00147	NA	-1.19868	1	-1.46005	2.84225	0.943769
FVEG_00150	NA	-0.045225	1	-0.169696	5.38948	4.37288
FVEG_00151	NA	0.465228	1	0.600395	8.50743	11.7769
FVEG_00152	NA	-0.31843	1	-0.448267	15.0951	10.0971
FVEG_00153	NA	0.0867665	1	0.407797	1.15361	1.40593
FVEG_00154	NA	0.451395	1	3.26398	0	0.205748
FVEG_00155	NA	-3.69026	1	-3.96484	6.26919	0.364824
FVEG_00156	NA	1.7982	1	2.14728	1.33531	5.45395
FVEG_00157	NA	-0.135429	1	-0.20308	27.4	21.7099
FVEG_00158	NA	2.95063	1	3.90398	0.176552	2.62629
FVEG_00159	NA	1.21286	1	2.45019	0.196353	1.09648
FVEG_00160	NA	0.470115	1	0.552649	12.4855	16.7072
FVEG_00161	NA	4.58901	1	4.91845	2.07575	57.8522
FVEG_00162	NA	4.67425	1	6.28664	0.078921	8.42023
FVEG_00165	NA	-3.00786	1	-3.68366	0.514408	0.0358169
FVEG_00166	NA	-4.82177	1	-5.44289	6.32763	0.128459
FVEG_00167	NA	0	1	1.05308	0.219765	0.510138
FVEG_00168	NA	0.673285	1	0.948676	1.39883	2.4766
FVEG_00169	NA	0	1	0.973756	0.124485	0.248075
FVEG_00170	NA	-1.73673	1	-2.08727	2.40464	0.516561
FVEG_00171	NA	-0.0919549	1	-0.603259	1.99321	1.21054
FVEG_00172	NA	0	1	-2.37988	0	0
FVEG_00173	NA	0	1	-2.37988	0	0
FVEG_00174	NA	0	1	-2.37988	0	0
FVEG_00175	NA	0	1	-2.37988	0	0
FVEG_00176	NA	0	1	-0.794918	0	0.0225456
FVEG_00177	NA	-0.964842	1	-1.09977	0.177818	0.0830726
FVEG_00178	NA	0	1	1.23483	0.0415253	0.116398
FVEG_00179	NA	-2.6553	1	-2.78752	27.2641	3.59997
FVEG_00180	NA	0	1	-0.00371164	15.3088	13.9285
FVEG_00181	NA	0.831844	1	0.89948	167.156	284.425
FVEG_00182	NA	0	1	0.0137889	18.2149	16.7831
FVEG_00183	NA	-0.565817	1	-0.620095	73.9078	43.8544
FVEG_00184	NA	-0.435583	1	-0.934081	0.438245	0.213879
FVEG_00185	NA	-2.9203	1	-3.74245	0.194325	0.0128468
FVEG_00186	NA	-0.222394	1	-0.337469	16.5413	11.9458
FVEG_00187	NA	-2.88464	1	-2.92846	181.72	21.7652
FVEG_00188	NA	0.676582	1	0.7967	17.7327	28.1187
FVEG_00189	NA	-3.66583	1	-3.73846	97.4698	6.65763
FVEG_00190	NA	-1.26713	1	-1.3328	42.0039	15.2077
FVEG_00191	NA	-1.86916	1	-1.91272	157.035	38.0322
FVEG_00192	NA	6.67893	1	7.30974	0.197072	29.8048
FVEG_00193	NA	7.4574	1	8.75528	0.0506749	23.294
FVEG_00194	NA	6.31529	1	7.56282	0.357118	70.3578
FVEG_00195	NA	6.81663	1	8.06384	0.0794856	22.163
FVEG_00196	NA	-2.05795	1	-2.08032	0.75848	0.166099
FVEG_00197	NA	-0.203389	1	-0.262291	40.1981	30.5675
FVEG_00198	NA	-2.1381	1	-2.29279	9.8919	1.84094
FVEG_00199	NA	-0.0291364	1	-0.297418	1.15837	0.862734
FVEG_00200	NA	-1.17864	1	-1.74761	1.321	0.360871
FVEG_00201	NA	-1.18739	1	-1.30467	26.6314	9.83477
FVEG_00202	NA	-1.21469	1	-1.42092	10.8596	3.70268
FVEG_00203	NA	0.510994	1	0.60779	26.7282	37.1662
FVEG_00204	NA	1.15432	1	1.21973	26.9426	57.2385
FVEG_00205	NA	0.412818	1	0.518083	7.65349	10.0019
FVEG_00206	NA	0	1	0.0303391	19.4128	18.089
FVEG_00207	NA	0.483643	1	0.536526	59.1444	78.2415
FVEG_00208	NA	0.924727	1	0.985095	51.1826	92.4085
FVEG_00211	NA	0	1	0.0795511	0.151965	0.26623
FVEG_00212	NA	0.602744	1	0.620264	419.639	588.211
FVEG_00213	NA	1.51942	1	1.63301	10.9205	30.918
FVEG_00214	NA	0	1	-0.0390612	5.49898	4.89162
FVEG_00215	NA	0.531306	1	0.721912	3.10004	4.67497
FVEG_00216	NA	-4.28897	1	-4.45764	26.3393	1.09131
FVEG_00217	NA	-1.15503	1	-1.21213	38.8298	15.2847
FVEG_00218	NA	-0.875022	1	-0.970264	27.4089	12.7614
FVEG_00219	NA	-3.15526	1	-3.26887	74.1961	7.01668
FVEG_00220	NA	-2.85789	1	-2.97039	41.5044	4.82778
FVEG_00221	NA	-2.86484	1	-2.94208	58.1003	6.89299
FVEG_00222	NA	0.506353	1	0.643098	7.95897	11.3491
FVEG_00223	NA	0.545027	1	0.695774	6.44868	9.5404
FVEG_00224	NA	-5.69497	1	-6.1061	10.6008	0.1383
FVEG_00225	NA	-2.8624	1	-3.25555	3.37875	0.321248
FVEG_00226	NA	-1.29883	1	-1.36985	116.363	41.0622
FVEG_00227	NA	0	1	0.0507539	1.09627	1.07377
FVEG_00228	NA	1.23051	1	1.3634	5.99485	14.0845
FVEG_00229	NA	1.99127	1	2.08386	15.0587	58.2547
FVEG_00230	NA	0.00891911	1	0.18741	11.0483	11.4961
FVEG_00232	NA	-0.534322	1	-0.761642	4.1956	2.26165
FVEG_00235	NA	-2.10975	1	-2.47245	3.02905	0.497497
FVEG_00236	NA	-4.4468	1	-5.08032	1.81568	0.0474503
FVEG_00237	NA	1.27827	1	2.67178	0.117473	0.814979
FVEG_00238	NA	0	1	0.0671247	0.328481	0.318723
FVEG_00239	NA	0	1	-0.794918	0	0.00488782
FVEG_00240	NA	0.732941	1	0.833489	10.298	16.746
FVEG_00241	NA	2.95622	1	4.4781	0.096955	2.62146
FVEG_00242	NA	0	1	0.0767579	1.87062	1.80682
FVEG_00243	NA	-2.93966	1	-4.64291	0.240518	0.00732815
FVEG_00244	NA	-1.79492	1	-1.89445	0.0747238	0.0196365
FVEG_00245	NA	0	1	0.205082	0	0.0124382
FVEG_00246	NA	1.94672	1	3.58205	0.0409695	0.66751
FVEG_00247	NA	2.41113	1	2.81402	1.48433	9.66772
FVEG_00248	NA	-0.0178966	1	-0.175498	6.74709	5.45523
FVEG_00249	NA	0.818375	1	1.18998	0.918967	1.93398
FVEG_00250	NA	0.956713	1	1.20508	3.41644	7.21818
FVEG_00251	NA	5.08152	1	5.24049	12.9907	448.871
FVEG_00252	NA	0	1	-0.0579524	0	0.00854117
FVEG_00253	NA	-2.09739	1	-3.96484	0.122993	0.00615637
FVEG_00254	NA	-5.13911	1	-6.5631	2.54579	0.0206482
FVEG_00256	NA	0	1	0.0243355	0.571137	0.534379
FVEG_00257	NA	0	1	-0.317596	0.432346	0.321152
FVEG_00258	NA	0	1	-2.37988	0	0
FVEG_00259	NA	-3.35144	1	-4.70181	0.499251	0.016065
FVEG_00260	NA	0.204317	1	1.03516	0.231108	0.459831
FVEG_00261	NA	-2.73046	1	-5.83931	0.357118	0
FVEG_00262	NA	0.870885	1	1.9551	0.104932	0.406268
FVEG_00263	NA	-0.0267882	1	-0.114607	37.877	31.9151
FVEG_00264	NA	3.06019	1	5.80499	0	1.18199
FVEG_00265	NA	6.20088	1	6.92551	0.85923	101.184
FVEG_00266	NA	3.94289	1	4.11326	12.1924	192.926
FVEG_00267	NA	0	1	1.32056	0	0.0718439
FVEG_00268	NA	-4.69119	1	-4.87452	37.1321	1.15175
FVEG_00269	NA	-3.37841	1	-3.5387	22.2931	1.74767
FVEG_00270	NA	4.15985	1	4.79309	0.213204	5.63331
FVEG_00271	NA	1.48912	1	1.6222	7.3769	20.7376
FVEG_00272	NA	0	1	2.26398	0	0.0687203
FVEG_00273	NA	0	1	1.32056	0	0.0500513
FVEG_00274	NA	1.18881	1	2.65574	0.218087	1.55694
FVEG_00275	NA	1.16815	1	2.06943	0.242114	1.00032
FVEG_00276	NA	-1.03656	1	-3.03196	0.257847	0.0271036
FVEG_00277	NA	0	1	-0.439259	0.424298	0.292379
FVEG_00279	NA	0	1	-1.37988	0.0105344	0.00553664
FVEG_00280	NA	-4.20844	1	-4.5749	3.38774	0.128547
FVEG_00281	NA	-0.0757382	1	-0.119894	48.088	40.3574
FVEG_00282	NA	0.422341	1	0.535175	24.6108	32.5495
FVEG_00283	NA	0	1	0.158215	0.642276	0.661064
FVEG_00284	NA	0	1	1.07955	0	0.0687517
FVEG_00285	NA	-0.933561	1	-1.18724	0.27209	0.112019
FVEG_00286	NA	0	1	2.01244	0	0.197052
FVEG_00287	NA	0	1	0.0375985	4.44455	4.16288
FVEG_00288	NA	-0.366513	1	-0.420949	18.3027	12.4679
FVEG_00289	NA	0.582901	1	0.669463	23.262	33.7549
FVEG_00291	NA	-1.1927	1	-3.70181	0.0270032	0.00118269
FVEG_00292	NA	0	1	-0.142841	0.119371	0.111535
FVEG_00293	NA	0	1	-0.794918	0	0.00643332
FVEG_00294	NA	0	1	-0.37988	0	0.00945553
FVEG_00295	NA	0	1	0.62012	0	0.0755084
FVEG_00296	NA	0.438777	1	0.521022	32.2277	42.1895
FVEG_00297	NA	-0.947719	1	-0.996399	42.6865	19.5125
FVEG_00298	NA	2.05629	1	2.33948	3.27563	15.2268
